66,133004,Server Temporarily Unavailable - Check WhatsApp Business Platform Status page and response details before trying again.
67,133005,Two step verification PIN Mismatch - Two-step verification PIN incorrect. Verify PIN or reset by disabling then setting new PIN.
68,133006,Phone number re-verification needed - Phone number needs to be verified before registering.
69,133008,Too Many two step verification PIN Guesses - Too many PIN guesses. Try again after time specified in response.
70,133009,Two step verification PIN Guessed Too Fast - PIN was entered too quickly. Check response details before trying again.
71,133010,Phone number Not Registered - Phone number not registered on WhatsApp Business Platform. Register the number first.
72,133015,Please wait before attempting to register - Phone number was recently deleted and deletion not yet completed. Wait 5 minutes.
73,134011,WhatsApp Payments terms of service not accepted - WhatsApp Payments terms acceptance is pending. Accept terms before trying again.
74,135000,Generic user error - Message failed due to unknown error with request parameters. Check endpoint reference or contact support.
75,131055,Method not allowed - Only marketing template messages are supported. Send using a marketing template message.
76,134100,Only marketing messages supported - Attempting to send utility or authentication template. Only MARKETING templates supported.
77,134101,Your template is still syncing - Template syncing can take up to 10 minutes. Wait and try again.
78,134102,Template unavailable for use - Unable to complete Ad synchronization or not eligible for MM API. Check eligibility status.
79,132018,Template validation error - Issue with parameters in template. Review errors and update parameters.
80,1752041,Duplicate Request - Client has already been invited to onboard by any partner. Onboarding limited to one request per business customer.
